Kudos Date,Kudos Type,Parent ID
"Aug 23, 2015, 4:28:22 AM",Activity,368825501
"Aug 23, 2015, 4:28:27 AM",Activity,368439004
"Aug 23, 2015, 4:28:31 AM",Activity,368436660
"Aug 23, 2015, 4:28:42 AM",Activity,367300288
"Aug 23, 2015, 4:28:46 AM",Activity,366122185
"Aug 23, 2015, 4:29:10 AM",Activity,365095159
"Aug 23, 2015, 2:11:08 PM",Activity,375661955
"Aug 23, 2015, 4:33:36 PM",Activity,375731383
"Aug 23, 2015, 6:54:52 PM",Activity,375869750
"Aug 23, 2015, 8:06:05 PM",Activity,375715163
"Aug 24, 2015, 2:14:59 PM",Activity,376354452
"Aug 24, 2015, 11:32:10 PM",Activity,376739129
"Aug 26, 2015, 11:40:06 PM",Activity,378210388
"Aug 27, 2015, 11:32:26 PM",Activity,378945310
"Aug 27, 2015, 11:32:28 PM",Activity,378870520
"Aug 27, 2015, 11:46:32 PM",Activity,378956742
"Aug 28, 2015, 12:59:57 PM",Activity,379244634
"Aug 28, 2015, 1:20:58 PM",Activity,379286265
"Aug 28, 2015, 6:25:25 PM",Activity,379482397
"Aug 28, 2015, 7:41:23 PM",Activity,379540404
"Aug 29, 2015, 6:03:14 PM",Activity,380193134
"Aug 29, 2015, 6:03:15 PM",Activity,380260304
